;;Bev�lkerung;Erwerbst�tige;Erwerbslose;Erwerbspersonen;Nichterwerbspersonen
m�nnlich;10/1959;17271;15555;104;15659;1612
m�nnlich;10/1960;17391;15710;63;15773;1618
m�nnlich;10/1961;17620;15967;46;16013;1607
m�nnlich;10/1962;17464;15822;46;15868;1596
m�nnlich;04/1963;17678;15989;42;16031;1647
m�nnlich;04/1964;17700;15906;49;15955;1745
m�nnlich;05/1965;17888;16051;31;16082;1806
m�nnlich;04/1966;17958;16122;31;16153;1805
m�nnlich;04/1967;17886;15726;198;15924;1962
m�nnlich;04/1968;17857;15741;206;15947;1910
m�nnlich;04/1969;18054;15936;110;16046;2008
m�nnlich;04/1970;18316;16066;84;16150;2166
m�nnlich;04/1971;18242;15923;97;16020;2222
m�nnlich;04/1972;18848;16547;109;16656;2391
m�nnlich;05/1973;19008;16571;92;16663;2345
m�nnlich;04/1974;19255;16488;213;16701;2554
m�nnlich;05/1975;19183;15944;548;16492;2692
m�nnlich;05/1976;19225;15825;518;16343;2882
m�nnlich;04/1977;19399;15918;504;16422;2977
m�nnlich;04/1978;19519;16032;467;16499;3020
m�nnlich;04/1979;19654;16216;397;16613;3041
m�nnlich;04/1980;20019;16516;380;16896;3123
m�nnlich;05/1981;20425;16532;521;17053;3375
m�nnlich;04/1982;20724;16376;829;17205;3521
m�nnlich;06/1983;21030;16141;1098;17239;3791
m�nnlich;06/1984;21327;16252;1110;17362;3966
m�nnlich;06/1985;21256;16225;1177;17402;3858
m�nnlich;04/1986;21360;16397;1127;17524;3837
m�nnlich;03/1987;21417;16382;1245;17627;3795
m�nnlich;04/1988;21499;16594;1145;17739;3762
m�nnlich;04/1989;21691;16797;1046;17843;3852
m�nnlich;04/1990;22182;17410;941;18350;3831
m�nnlich;04/1991;27663;21689;1247;22936;4727
m�nnlich;05/1992;27879;21436;1419;22855;5023
m�nnlich;04/1993;28166;21111;1790;22901;5266
m�nnlich;04/1994;28104;20796;2047;22843;5261
m�nnlich;04/1995;28070;20744;1987;22731;5340
m�nnlich;04/1996;28175;20490;2122;22612;5563
m�nnlich;04/1997;28258;20322;2376;22698;5560
m�nnlich;04/1998;28229;20278;2354;22630;5600
m�nnlich;04/1999;28196;20422;2220;22639;5557
m�nnlich;05/2000;28067;20439;1997;22433;5634
m�nnlich;04/2001;28014;20375;2051;22426;5588
m�nnlich;04/2002;27927;20073;2285;22358;5570
m�nnlich;05/2003;27824;19720;2626;22345;5479
m�nnlich;03/2004;27687;19397;2842;22239;5448
m�nnlich;2005;27828;19806;2572;22378;5450
m�nnlich;2006;27714;20141;2346;22486;5228
m�nnlich;2007;27533;20522;1940;22462;5071
m�nnlich;2008;27457;20786;1686;22472;4985
m�nnlich;2009;27308;20556;1835;22391;4917
m�nnlich;2010;27201;20637;1695;22333;4869
m�nnlich;2011;26415;20429;1333;21762;4653
m�nnlich;2012;26493;20559;1233;21792;4702
m�nnlich;2013;26560;20632;1227;21859;4701
m�nnlich;2014;26669;20739;1184;21924;4746
m�nnlich;2015;26833;20845;1119;21964;4869
m�nnlich;2016;27457;21417;1025;22442;5015
m�nnlich;2017;27305;21536;950;22486;4819
weiblich;10/1959;20152;9386;109;9495;10657
weiblich;10/1960;20113;9494;79;9573;10540
weiblich;10/1961;20141;9504;45;9549;10592
weiblich;10/1962;20127;9394;53;9447;10680
weiblich;04/1963;20124;9404;42;9446;10678
weiblich;04/1964;20149;9381;45;9426;10723
weiblich;05/1965;20189;9449;25;9474;10715
weiblich;04/1966;20161;9389;19;9408;10753
weiblich;04/1967;20115;9079;92;9171;10944
weiblich;04/1968;20062;9039;165;9204;10858
weiblich;04/1969;20082;9147;93;9240;10842
weiblich;04/1970;20180;9254;75;9329;10851
weiblich;04/1971;20036;9227;104;9331;10705
weiblich;04/1972;20140;9505;87;9592;10578
weiblich;05/1973;20164;9667;86;9753;10411
weiblich;04/1974;20235;9609;160;9769;10466
weiblich;05/1975;20239;9393;357;9750;10489
weiblich;05/1976;20252;9352;423;9775;10478
weiblich;04/1977;20263;9434;468;9902;10361
weiblich;04/1978;20331;9498;464;9962;10369
weiblich;04/1979;20372;9677;455;10132;10240
weiblich;04/1980;20511;9913;386;10299;10212
weiblich;05/1981;20792;10008;524;10532;10262
weiblich;04/1982;21085;10023;732;10755;10332
weiblich;06/1983;21555;9972;965;10937;10618
weiblich;06/1984;21510;10023;1098;11121;10389
weiblich;06/1985;21476;10101;1209;11310;10168
weiblich;04/1986;21386;10253;1163;11416;9973
weiblich;03/1987;21348;10400;1131;11531;9819
weiblich;04/1988;21202;10493;1169;11662;9540
weiblich;04/1989;21232;10689;1101;11790;9443
weiblich;04/1990;21608;11623;1027;12650;8958
weiblich;04/1991;27079;15437;1389;16826;10254
weiblich;05/1992;27119;15181;1762;16943;10177
weiblich;04/1993;27240;14959;2005;16964;10276
weiblich;04/1994;27237;14970;2108;17078;10160
weiblich;04/1995;27217;14983;2042;17025;10192
weiblich;04/1996;27334;15145;1874;17019;10316
weiblich;04/1997;27385;15117;2091;17208;10177
weiblich;04/1998;27413;15220;2048;17265;10149
weiblich;04/1999;27414;15605;1886;17490;9924
weiblich;05/2000;27367;15793;1726;17517;9850
weiblich;04/2001;27297;16040;1678;17718;9579
weiblich;04/2002;27303;16045;1779;17824;9479
weiblich;05/2003;27234;16014;1988;18002;9232
weiblich;03/2004;27084;15812;2100;17911;9174
weiblich;2005;27301;16240;2007;18247;9054
weiblich;2006;27144;16661;1913;18574;8571
weiblich;2007;27016;17046;1661;18707;8309
weiblich;2008;26936;17305;1449;18754;8181
weiblich;2009;26795;17438;1392;18829;7966
weiblich;2010;26700;17633;1249;18882;7818
weiblich;2011;26204;17741;1061;18802;7402
weiblich;2012;26246;17839;985;18823;7423
weiblich;2013;26288;18090;947;19037;7251
weiblich;2014;26301;18236;898;19134;7167
weiblich;2015;26355;18398;821;19219;7136
weiblich;2016;26644;18818;742;19560;7084
weiblich;2017;26467;18924;659;19584;6884
Insgesamt;10/1959;37423;24941;212;25153;12270
Insgesamt;10/1960;37504;25203;141;25344;12160
Insgesamt;10/1961;37761;25473;88;25561;12200
Insgesamt;10/1962;37591;25214;98;25312;12279
Insgesamt;04/1963;37802;25393;84;25477;12325
Insgesamt;04/1964;37850;25287;94;25381;12469
Insgesamt;05/1965;38077;25499;57;25556;12521
Insgesamt;04/1966;38119;25511;49;25560;12559
Insgesamt;04/1967;38000;24805;286;25091;12909
Insgesamt;04/1968;37919;24781;372;25153;12766
Insgesamt;04/1969;38134;25083;204;25287;12847
Insgesamt;04/1970;38495;25320;160;25480;13015
Insgesamt;04/1971;38278;25149;201;25350;12928
Insgesamt;04/1972;38988;26053;197;26250;12969
Insgesamt;05/1973;39171;26238;178;26416;12756
Insgesamt;04/1974;39491;26097;373;26470;13020
Insgesamt;05/1975;39422;25337;905;26241;13181
Insgesamt;05/1976;39477;25177;941;26118;13360
Insgesamt;04/1977;39662;25351;972;26323;13339
Insgesamt;04/1978;39850;25529;931;26460;13390
Insgesamt;04/1979;40026;25893;852;26745;13281
Insgesamt;04/1980;40530;26428;766;27194;13336
Insgesamt;05/1981;41217;26540;1045;27585;13638
Insgesamt;04/1982;41809;26399;1560;27959;13853
Insgesamt;06/1983;42585;26113;2064;28177;14408
Insgesamt;06/1984;42837;26276;2207;28483;14356
Insgesamt;06/1985;42732;26326;2386;28712;14026
Insgesamt;04/1986;42746;26650;2290;28940;13810
Insgesamt;03/1987;42765;26782;2376;29158;13614
Insgesamt;04/1988;42701;27087;2314;29401;13302
Insgesamt;04/1989;42923;27486;2147;29633;13293
Insgesamt;04/1990;43790;29033;1968;31000;12789
Insgesamt;04/1991;54743;37126;2636;39762;14981
Insgesamt;05/1992;54998;36617;3181;39798;15200
Insgesamt;04/1993;55406;36070;3794;39864;15542
Insgesamt;04/1994;55341;35765;4155;39920;15421
Insgesamt;04/1995;55287;35727;4029;39756;15532
Insgesamt;04/1996;55509;35634;3995;39629;15879
Insgesamt;04/1997;55643;35439;4468;39907;15737
Insgesamt;04/1998;55643;35498;4396;39894;15749
Insgesamt;04/1999;55610;36026;4103;40129;15481
Insgesamt;05/2000;55433;36232;3722;39950;15483
Insgesamt;04/2001;55312;36415;3730;40144;15168
Insgesamt;04/2002;55230;36118;4064;40182;15049
Insgesamt;05/2003;55058;35734;4614;40347;14711
Insgesamt;03/2004;54771;35209;4941;40150;14621
Insgesamt;2005;55129;36047;4578;40625;14504
Insgesamt;2006;54858;36801;4258;41060;13798
Insgesamt;2007;54549;37568;3601;41170;13380
Insgesamt;2008;54393;38091;3135;41226;13166
Insgesamt;2009;54103;37994;3226;41220;12883
Insgesamt;2010;53902;38270;2944;41214;12687
Insgesamt;2011;52619;38170;2394;40564;12055
Insgesamt;2012;52739;38398;2218;40615;12124
Insgesamt;2013;52848;38722;2173;40896;11952
Insgesamt;2014;52970;38976;2082;41058;11912
Insgesamt;2015;53187;39242;1940;41183;12005
Insgesamt;2016;54101;40236;1767;42003;12098
Insgesamt;2017;53772;40460;1610;42070;11703
